Coin, Tot. vol,Curr Invs Amt, Avg Price,Avg 4 Price ,Tgt %,Tgt Sell amt,Tgt Last Sell amt,Curr Mkt Price, Curr Port. Amt,Realised Gain,Gain in Port.,Net Profit/loss,Gain Realised %,Gain in Port. %,Profit %,StablizeCount,StablizeRate
ACT,27.23,671.5326450000001,24.661500000000004,24.6,20.0,29.593800000000005,29.520000000000003,17.150027066956,466.9952370332119,0.0,-204.53740796678824,-204.53740796678824,0.0,-30.458297074565632,-30.458297074565632,11.926360650525321,9.638554133911995
ADA,46.0,891.9611842105263,19.39046052631579,19.342105263157894,20.0,23.268552631578945,23.210526315789473,15.909332843347999,731.8293107940079,85.61368421052634,-160.13187341651837,-74.51818920599203,5.809536309601937,-10.866159323902378,-5.056623014300442,10.065278977645667,12.428205160380209
DGB,100.0,260.65,2.6064999999999996,2.6,25.0,3.2581249999999997,3.25,2.72160419517,272.160419517,0.0,11.510419517000003,11.510419517000003,0.0,4.41604431881834,4.41604431881834,-4.229277547935667,2.83670839034
DOGE,2500.0,977.4375,0.390975,0.39,25.0,0.48871875000000004,0.48750000000000004,0.28017215678199997,700.4303919549999,0.0,-277.0071080450001,-277.0071080450001,0.0,-28.34013510275594,-28.34013510275594,988.7032002988699,0.16936931356399992
ETN,150.0,282.705,1.8846999999999998,1.88,25.0,2.3558749999999997,2.3499999999999996,1.470886776856,220.6330165284,0.0,-62.07198347159999,-62.07198347159999,0.0,-21.956450530270068,-21.956450530270068,42.20038173453296,1.057073553712
ONT,2.0,670.8157142857142,335.40785714285715,334.57142857142856,10.0,368.9486428571429,368.0285714285714,517.52413482,1035.04826964,-241.19788571428603,364.23255535428564,123.0346696399996,-10.273116768892713,15.513417794296736,5.240301025404022,-0.7037982015678734,699.6404124971427
POWR,10.0,366.01275,36.601275,36.51,20.0,43.921530000000004,43.812,25.524985816301996,255.24985816301995,0.0,-110.76289183698003,-110.76289183698003,0.0,-30.26203099126466,-30.26203099126466,4.339390925978078,14.44869663260399
RPX,63.5,404.22303750000003,6.365717125984252,6.34984251968504,25.0,7.957146407480316,7.9373031496063,5.253108615915999,333.572397110666,0.0,-70.65064038933406,-70.65064038933406,0.0,-17.478133068883796,-17.478133068883796,13.449301271874521,4.140500105847746
SC,518.0,739.3237,1.42726583011583,1.4237065637065638,25.0,1.7840822876447877,1.7796332046332046,1.3007652068459998,673.7963771462279,0.0,-65.52732285377215,-65.52732285377215,0.0,-8.863143823709715,-8.863143823709715,50.37598062194329,1.1742645835761696
VEN,5.100000000000001,972.0354320175443,190.595182748538,197.6798245614035,10.0,209.6547010233918,217.44780701754385,288.42254154,1470.9549618540004,225.78973201754388,498.91952983645626,724.7092618540001,6.927813025150596,15.308141722912577,22.235954748063175,-1.7298215568468784,386.24990033146196
WAN,3.0,1223.8376785714286,407.94589285714284,406.9285714285714,10.0,448.7404821428571,447.6214285714285,355.24383958,1065.73151874,19.189928571428652,-158.1061598314286,-138.91623125999996,1.1200089747796358,-9.227773689725636,-8.107764714946002,0.4450637624521664,302.54178630285713
WPR,100.0,917.2875,9.172875,9.15,25.0,11.466093749999999,11.4375,7.084148552207999,708.4148552208,0.0,-208.87264477919996,-208.87264477919996,0.0,-22.77068473943011,-22.77068473943011,29.484509428320525,4.995422104415999
XEM,50.0,1160.39375,23.207874999999998,23.15,20.0,27.849449999999997,27.779999999999998,20.061799221547997,1003.0899610773998,0.0,-157.30378892260012,-157.30378892260012,0.0,-13.556069991121559,-13.556069991121559,7.840961181270477,16.915723443095995
XRP,30.0,1487.5095,49.58365,49.46,20.0,59.50038,59.352000000000004,45.726837023742,1371.80511071226,0.0,-115.70438928773979,-115.70438928773979,0.0,-7.7783966615164335,-7.7783966615164335,2.5303387861195055,41.870024047484
ZIL,240.0,1073.076,4.47115,4.46,25.0,5.5889375,5.575,9.665700761485999,2319.76818275664,0.0,1246.6921827566398,1246.6921827566398,0.0,116.17929976596623,116.17929976596623,-128.9810447809657,14.860251522971998

,,Total Buy Amt,Total Sell amt,Tot. Comm amt,Tot. Invs amt,Tot Gain Port.,Tot Gain Realized,Tot. Net Gain %,Gain amt in Mkt
,,17134.2317575,5124.825825,55.5729325,12098.801391585213,530.6784766634202,89.39545908521285,4.704175027071941,98.80139158521342
